,xd_id,measurement_tstamp,measurement_tstamp_str,speed,average_speed,reference_speed,travel_time_seconds,confidence_score,cvalue,congestion,extreme_congestion,tstamp,ts,AccXDSegID,type
0,1524440253,2021-12-31 18:00:00,2022-01-01 00:00:00,71.0,67.0,67.0,29.91,30.0,100.00,0.0,0.0,1640995200,,,0.0
1,1524407671,2021-12-31 18:00:00,2022-01-01 00:00:00,61.0,56.0,56.0,27.55,30.0,100.00,0.0,0.0,1640995200,,,0.0
2,1524554264,2021-12-31 18:00:00,2022-01-01 00:00:00,69.19,68.0,68.0,24.21,30.0,100.00,0.0,0.0,1640995200,,,0.0
3,1524343901,2021-12-31 18:00:00,2022-01-01 00:00:00,67.4,60.0,60.0,8.58,30.0,100.00,0.0,0.0,1640995200,,,0.0
4,1524571645,2021-12-31 18:00:00,2022-01-01 00:00:00,70.8,64.0,64.0,31.38,30.0,100.00,0.0,0.0,1640995200,,,0.0
5,1524512402,2021-12-31 18:00:00,2022-01-01 00:00:00,66.2,66.0,66.0,42.51,30.0,100.00,0.0,0.0,1640995200,,,0.0
6,1524563195,2021-12-31 18:00:00,2022-01-01 00:00:00,66.6,58.0,58.0,19.03,30.0,100.00,0.0,0.0,1640995200,,,0.0
7,1524440228,2021-12-31 18:00:00,2022-01-01 00:00:00,70.0,68.0,68.0,25.98,30.0,100.00,0.0,0.0,1640995200,,,0.0
8,1524407697,2021-12-31 18:00:00,2022-01-01 00:00:00,55.0,57.0,57.0,21.81,30.0,100.00,0.03508771929824561,0.03508771929824561,1640995200,,,0.0
9,1524375478,2021-12-31 18:00:00,2022-01-01 00:00:00,65.79,61.0,61.0,33.38,30.0,100.00,0.0,0.0,1640995200,,,0.0
10,1524395080,2021-12-31 18:00:00,2022-01-01 00:00:00,71.0,67.0,67.0,23.79,30.0,100.00,0.0,0.0,1640995200,,,0.0
11,1524379837,2021-12-31 18:00:00,2022-01-01 00:00:00,67.0,65.0,65.0,24.7,30.0,100.00,0.0,0.0,1640995200,,,0.0
12,1524630542,2021-12-31 18:00:00,2022-01-01 00:00:00,65.99,62.0,62.0,42.43,30.0,100.00,0.0,0.0,1640995200,,,0.0
13,1524630565,2021-12-31 18:00:00,2022-01-01 00:00:00,65.39,61.0,61.0,24.6,30.0,100.00,0.0,0.0,1640995200,,,0.0
14,1524561318,2021-12-31 18:00:00,2022-01-01 00:00:00,57.6,55.0,55.0,8.33,30.0,100.00,0.0,0.0,1640995200,,,0.0
15,1524536376,2021-12-31 18:00:00,2022-01-01 00:00:00,71.0,68.0,68.0,30.74,30.0,100.00,0.0,0.0,1640995200,,,0.0
16,1524536351,2021-12-31 18:00:00,2022-01-01 00:00:00,71.39,67.0,67.0,29.09,30.0,100.00,0.0,0.0,1640995200,,,0.0
17,1524630585,2021-12-31 18:00:00,2022-01-01 00:00:00,63.0,60.0,60.0,46.29,30.0,100.00,0.0,0.0,1640995200,,,0.0
18,1524364757,2021-12-31 18:00:00,2022-01-01 00:00:00,71.79,68.0,68.0,26.06,30.0,100.00,0.0,0.0,1640995200,,,0.0
19,1524362110,2021-12-31 18:00:00,2022-01-01 00:00:00,70.8,64.0,64.0,37.36,30.0,100.00,0.0,0.0,1640995200,,,0.0
20,1524364779,2021-12-31 18:00:00,2022-01-01 00:00:00,71.39,67.0,67.0,26.2,30.0,100.00,0.0,0.0,1640995200,,,0.0
21,1524481695,2021-12-31 18:00:00,2022-01-01 00:00:00,70.39,65.0,65.0,8.68,30.0,100.00,0.0,0.0,1640995200,,,0.0
22,1524600590,2021-12-31 18:00:00,2022-01-01 00:00:00,69.0,66.0,66.0,29.86,30.0,100.00,0.0,0.0,1640995200,,,0.0
23,1524600569,2021-12-31 18:00:00,2022-01-01 00:00:00,68.39,66.0,66.0,30.13,30.0,100.00,0.0,0.0,1640995200,,,0.0
24,1524404617,2021-12-31 18:00:00,2022-01-01 00:00:00,71.2,66.0,66.0,28.31,30.0,100.00,0.0,0.0,1640995200,,,0.0
25,1524516047,2021-12-31 18:00:00,2022-01-01 00:00:00,53.0,53.0,53.0,27.81,10.0,,0.0,0.0,1640995200,,,0.0
26,1524394555,2021-12-31 18:00:00,2022-01-01 00:00:00,66.6,61.0,61.0,40.13,30.0,100.00,0.0,0.0,1640995200,,,0.0
27,1524563259,2021-12-31 18:00:00,2022-01-01 00:00:00,67.19,59.0,59.0,20.67,30.0,100.00,0.0,0.0,1640995200,,,0.0
28,1524348644,2021-12-31 18:00:00,2022-01-01 00:00:00,73.0,66.0,66.0,23.38,30.0,100.00,0.0,0.0,1640995200,,,0.0
29,1524470172,2021-12-31 18:00:00,2022-01-01 00:00:00,59.8,58.0,58.0,5.91,30.0,100.00,0.0,0.0,1640995200,,,0.0
30,449630937,2021-12-31 18:00:00,2022-01-01 00:00:00,66.0,60.0,60.0,33.92,30.0,100.00,0.0,0.0,1640995200,,,0.0
31,449630938,2021-12-31 18:00:00,2022-01-01 00:00:00,63.0,58.0,58.0,31.9,30.0,100.00,0.0,0.0,1640995200,,,0.0
32,1524417970,2021-12-31 18:00:00,2022-01-01 00:00:00,71.0,63.0,63.0,27.63,30.0,100.00,0.0,0.0,1640995200,,,0.0
33,1524315703,2021-12-31 18:00:00,2022-01-01 00:00:00,61.37,57.0,57.0,28.99,30.0,100.00,0.0,0.0,1640995200,,,0.0
34,1524364718,2021-12-31 18:00:00,2022-01-01 00:00:00,70.4,67.0,67.0,33.24,30.0,100.00,0.0,0.0,1640995200,,,0.0
35,1524516072,2021-12-31 18:00:00,2022-01-01 00:00:00,72.18,67.0,67.0,19.7,30.0,100.00,0.0,0.0,1640995200,,,0.0
36,1524358034,2021-12-31 18:00:00,2022-01-01 00:00:00,66.74,59.0,59.0,45.8,30.0,100.00,0.0,0.0,1640995200,,,0.0
37,1524407744,2021-12-31 18:00:00,2022-01-01 00:00:00,63.0,57.0,57.0,14.57,30.0,100.00,0.0,0.0,1640995200,,,0.0
38,1524566321,2021-12-31 18:00:00,2022-01-01 00:00:00,67.8,65.0,65.0,30.35,30.0,100.00,0.0,0.0,1640995200,,,0.0
39,1524364713,2021-12-31 18:00:00,2022-01-01 00:00:00,72.39,67.0,67.0,25.84,30.0,100.00,0.0,0.0,1640995200,,,0.0
40,1524397645,2021-12-31 18:00:00,2022-01-01 00:00:00,70.37,65.0,65.0,29.05,30.0,100.00,0.0,0.0,1640995200,,,0.0
41,1524635232,2021-12-31 18:00:00,2022-01-01 00:00:00,62.4,54.0,54.0,20.51,30.0,96.00,0.0,0.0,1640995200,,,0.0
42,1524417996,2021-12-31 18:00:00,2022-01-01 00:00:00,72.0,64.0,64.0,29.73,30.0,100.00,0.0,0.0,1640995200,,,0.0
43,1524528063,2021-12-31 18:00:00,2022-01-01 00:00:00,71.78,67.0,67.0,25.56,30.0,100.00,0.0,0.0,1640995200,,,0.0
44,1524364735,2021-12-31 18:00:00,2022-01-01 00:00:00,72.6,67.0,67.0,26.15,30.0,100.00,0.0,0.0,1640995200,,,0.0
45,1524553047,2021-12-31 18:00:00,2022-01-01 00:00:00,69.99,65.0,65.0,28.92,30.0,100.00,0.0,0.0,1640995200,,,0.0
46,1524532117,2021-12-31 18:00:00,2022-01-01 00:00:00,65.0,58.0,58.0,39.07,30.0,100.00,0.0,0.0,1640995200,,,0.0
47,1524571767,2021-12-31 18:00:00,2022-01-01 00:00:00,71.0,67.0,67.0,31.29,30.0,100.00,0.0,0.0,1640995200,,,0.0
48,1524571760,2021-12-31 18:00:00,2022-01-01 00:00:00,72.0,67.0,67.0,30.85,30.0,100.00,0.0,0.0,1640995200,,,0.0
49,1524621603,2021-12-31 18:00:00,2022-01-01 00:00:00,70.0,62.0,62.0,25.91,30.0,100.00,0.0,0.0,1640995200,,,0.0
50,1524617586,2021-12-31 18:00:00,2022-01-01 00:00:00,63.0,63.0,63.0,17.12,10.0,,0.0,0.0,1640995200,,,0.0
51,1524348693,2021-12-31 18:00:00,2022-01-01 00:00:00,71.0,66.0,66.0,26.88,30.0,100.00,0.0,0.0,1640995200,,,0.0
52,1524571712,2021-12-31 18:00:00,2022-01-01 00:00:00,70.8,65.0,65.0,31.38,30.0,100.00,0.0,0.0,1640995200,,,0.0
53,1524394538,2021-12-31 18:00:00,2022-01-01 00:00:00,68.0,64.0,64.0,16.94,30.0,100.00,0.0,0.0,1640995200,,,0.0
54,1524571722,2021-12-31 18:00:00,2022-01-01 00:00:00,70.6,67.0,67.0,31.47,30.0,100.00,0.0,0.0,1640995200,,,0.0
55,1524349997,2021-12-31 18:00:00,2022-01-01 00:00:00,65.0,57.0,57.0,6.35,30.0,100.00,0.0,0.0,1640995200,,,0.0
56,1524379716,2021-12-31 18:00:00,2022-01-01 00:00:00,69.0,66.0,66.0,23.99,30.0,100.00,0.0,0.0,1640995200,,,0.0
57,1524308507,2021-12-31 18:00:00,2022-01-01 00:00:00,67.59,68.0,68.0,31.04,30.0,100.00,0.006029411764705832,0.006029411764705832,1640995200,,,0.0
58,1524536424,2021-12-31 18:00:00,2022-01-01 00:00:00,71.2,67.0,67.0,29.16,30.0,100.00,0.0,0.0,1640995200,,,0.0
59,1524366423,2021-12-31 18:00:00,2022-01-01 00:00:00,63.2,59.0,59.0,33.3,30.0,100.00,0.0,0.0,1640995200,,,0.0
60,1524308532,2021-12-31 18:00:00,2022-01-01 00:00:00,70.8,68.0,68.0,29.64,30.0,100.00,0.0,0.0,1640995200,,,0.0
61,1524379735,2021-12-31 18:00:00,2022-01-01 00:00:00,68.0,66.0,66.0,25.6,30.0,100.00,0.0,0.0,1640995200,,,0.0
62,160736437,2021-12-31 18:00:00,2022-01-01 00:00:00,65.98,65.0,65.0,17.61,30.0,100.00,0.0,0.0,1640995200,,,0.0
63,1524379761,2021-12-31 18:00:00,2022-01-01 00:00:00,66.0,65.0,65.0,25.08,30.0,100.00,0.0,0.0,1640995200,,,0.0
64,1524455430,2021-12-31 18:00:00,2022-01-01 00:00:00,60.79,59.0,59.0,37.91,30.0,100.00,0.0,0.0,1640995200,,,0.0
65,1524571671,2021-12-31 18:00:00,2022-01-01 00:00:00,70.6,62.0,62.0,31.47,30.0,100.00,0.0,0.0,1640995200,,,0.0
66,1524379788,2021-12-31 18:00:00,2022-01-01 00:00:00,64.0,66.0,66.0,25.86,30.0,100.00,0.030303030303030304,0.030303030303030304,1640995200,,,0.0
67,1524571689,2021-12-31 18:00:00,2022-01-01 00:00:00,70.6,67.0,67.0,31.47,30.0,100.00,0.0,0.0,1640995200,,,0.0
